,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_COMB,CO2EMISSIONS
168,3.6,6,12.8,294
169,3.0,6,11.0,253
170,3.6,6,11.3,260
171,3.0,6,11.1,255
172,3.6,6,11.4,262
173,6.2,8,16.6,382
174,6.2,8,14.8,340
175,6.2,8,16.6,382
176,6.2,8,14.8,340
177,6.2,8,16.6,382
178,6.2,8,14.8,340
179,6.2,8,14.7,338
180,6.2,8,20.1,322
181,6.2,8,16.4,377
182,6.2,8,22.1,354
183,3.6,6,12.3,283
184,3.6,6,12.8,294
185,3.6,6,11.4,262
186,3.6,6,11.8,271
187,3.6,6,12.6,290
188,3.6,6,11.2,258
189,3.6,6,11.7,269
190,3.6,6,10.5,242
191,6.2,8,12.8,294
192,6.2,8,12.7,292
193,6.2,8,16.6,382
194,6.2,8,14.8,340
195,6.2,8,12.0,276
196,6.2,8,11.2,258
197,1.4,4,7.8,179
198,1.4,4,7.8,179
199,1.8,4,8.8,202
200,1.8,4,8.2,189
201,2.0,4,7.1,192
202,1.4,4,7.7,177
203,1.4,4,7.1,163
204,2.4,4,9.1,209
205,3.6,6,12.0,276
206,3.6,6,16.2,259
207,2.4,4,10.0,230
208,3.6,6,12.6,290
209,3.6,6,17.0,272
210,4.3,6,15.1,347
211,5.3,8,15.9,366
212,5.3,8,20.9,334
213,5.3,8,16.5,380
214,5.3,8,21.5,344
215,5.3,8,16.5,380
216,5.3,8,21.5,344
217,5.3,8,16.5,380
218,5.3,8,22.6,362
219,5.3,8,16.5,380
220,5.3,8,21.5,344
221,5.3,8,16.5,380
222,5.3,8,22.6,362
223,4.8,8,18.0,414
224,6.0,8,18.8,432
225,6.0,8,25.7,411
226,4.8,8,18.2,419
227,6.0,8,18.9,435
228,6.0,8,25.8,413
229,2.5,4,9.6,221
230,3.6,6,10.6,244
231,3.6,6,14.3,229
232,2.4,4,8.7,200
233,2.0,4,9.9,228
234,2.5,4,8.0,184
235,2.4,4,10.6,244
236,2.4,4,10.2,235
237,4.3,6,11.8,271
238,4.3,6,16.8,269
239,5.3,8,12.7,292
240,5.3,8,16.9,270
241,6.2,8,14.1,324
242,4.3,6,12.6,290
243,4.3,6,17.8,285
244,5.3,8,13.0,299
245,5.3,8,17.3,277
246,6.2,8,14.3,329
247,1.4,4,8.0,184
248,1.4,4,7.5,173
249,1.8,4,8.3,191
250,1.8,4,7.9,182
251,1.4,4,8.0,184
252,1.4,4,7.5,172
253,1.8,4,8.3,191
254,1.8,4,7.9,182
255,1.4,4,8.3,191
256,1.4,4,7.9,182
257,1.4,4,8.3,191
258,1.4,4,7.9,182
259,1.2,4,6.9,159
260,1.2,4,6.9,159
261,5.3,8,13.8,317
262,5.3,8,18.4,294
263,5.3,8,13.8,317
264,5.3,8,18.4,294
265,5.3,8,13.8,317
266,5.3,8,18.4,294
267,5.3,8,13.8,317
268,5.3,8,18.4,294
269,3.6,6,12.3,283
270,3.6,6,12.6,290
271,1.4,4,8.4,193
272,1.4,4,8.1,186
273,1.4,4,9.0,207
274,3.6,6,10.3,237
275,2.4,4,10.1,232
276,2.4,4,10.7,246
277,3.6,6,10.5,242
278,3.6,6,14.4,230
279,2.4,4,9.8,225
280,2.4,4,10.0,230
281,3.6,6,10.5,242
282,3.6,6,14.4,230
283,5.7,8,12.8,294
284,3.6,6,10.9,251
285,5.7,8,13.4,308
286,3.6,6,10.9,251
287,3.6,6,14.8,237
288,3.6,6,10.3,237
289,3.6,6,13.9,222
290,6.4,8,13.8,317
291,3.6,6,12.0,276
292,3.6,6,16.8,269
293,2.4,4,9.8,225
294,2.4,4,10.0,230
295,3.6,6,10.5,242
296,3.6,6,14.4,230
297,3.6,6,11.2,258
298,5.7,8,13.1,301
299,5.7,8,12.8,294
300,6.4,8,13.9,320
301,6.4,8,13.8,317
302,3.6,6,11.2,258
303,3.6,6,10.3,237
304,5.7,8,12.8,294
305,3.6,6,10.9,251
306,5.7,8,13.4,308
307,3.6,6,10.9,251
308,3.6,6,14.8,237
309,3.6,6,11.2,258
310,3.6,6,15.7,251
311,3.6,6,10.2,235
312,3.6,6,13.9,222
313,6.4,8,13.8,317
314,2.0,4,8.1,186
315,2.4,4,8.6,198
316,2.4,4,8.8,202
317,2.0,4,8.6,198
318,2.0,4,12.2,195
319,2.4,4,9.2,212
320,2.4,4,8.8,202
321,1.4,4,7.3,168
322,1.4,4,7.3,168
323,5.7,8,14.4,331
324,3.6,6,12.1,278
325,3.6,6,15.6,250
326,3.6,6,11.8,271
327,3.6,6,16.5,264
328,2.4,4,11.1,255
329,3.6,6,12.4,285
330,3.6,6,12.0,276
331,3.6,6,16.2,259
332,1.4,4,7.8,179
333,1.4,4,7.8,179
334,1.4,4,7.9,182
335,1.4,4,7.2,166
336,1.4,4,7.8,179
337,1.4,4,7.9,182
338,1.4,4,6.8,156
339,1.4,4,7.8,179
340,1.4,4,8.7,200
341,1.4,4,8.4,193
342,2.0,4,6.0,138
343,4.6,8,16.2,373
344,4.6,8,21.9,350
345,5.4,8,17.2,396
346,5.4,8,22.5,360
347,4.6,8,16.8,386
348,4.6,8,23.0,368
349,6.8,10,21.2,488
350,5.4,8,18.3,421
351,5.4,8,23.9,382
352,2.0,4,9.8,225
353,3.5,6,10.8,248
354,3.5,6,11.5,264
355,3.7,6,12.2,281
356,1.6,4,9.1,209
357,2.0,4,9.6,221
358,2.5,4,9.4,216
359,1.6,4,9.3,214
360,2.0,4,10.0,230
361,5.4,8,16.0,368
362,5.4,8,21.6,346
363,2.0,4,10.2,235
364,3.5,6,13.0,299
365,3.5,6,11.9,274
366,3.5,6,15.9,254
367,3.5,6,12.5,288
368,3.5,6,16.7,267
369,3.5,6,12.7,292
370,3.5,6,12.8,294
371,6.2,8,15.9,366
372,3.5,6,13.8,317
373,3.5,6,13.4,308
374,6.2,8,17.5,402
375,3.7,6,12.3,283
376,3.7,6,16.5,264
377,3.7,6,12.3,283
378,3.7,6,16.5,264
379,5.0,8,14.6,336
380,5.0,8,19.7,315
381,5.0,8,14.6,336
382,5.0,8,19.7,315
383,3.7,6,13.4,308
384,3.7,6,18.0,288
385,3.7,6,13.4,308
386,3.7,6,18.0,288
387,5.0,8,14.9,343
388,5.0,8,20.0,320
389,5.0,8,14.8,340
390,5.0,8,19.9,318
391,6.2,8,18.0,414
392,1.6,4,7.6,175
393,1.6,4,7.6,175
394,1.0,4,6.6,152
395,1.6,4,7.0,161
396,1.6,4,8.0,184
397,3.5,6,11.5,264
398,3.5,6,12.1,278
399,3.5,6,12.8,294
400,2.0,4,8.9,205
401,2.0,4,7.7,177
402,2.0,4,10.3,165
403,2.0,4,7.8,179
404,2.0,4,10.3,165
405,2.0,4,8.0,184
406,2.0,4,10.6,170
407,2.0,4,7.2,166
408,2.0,4,10.1,162
409,1.5,4,8.5,196
410,1.6,4,8.1,186
411,2.0,4,9.0,207
412,2.5,4,8.9,205
413,1.5,4,8.1,186
414,2.0,4,9.4,216
415,2.0,4,5.5,126
416,3.7,6,10.2,235
417,3.7,6,10.6,244
418,5.0,8,11.5,264
419,5.0,8,12.7,292
420,5.8,8,13.2,304
421,3.7,6,10.6,244
422,2.0,4,9.1,209
423,3.5,6,11.8,271
424,3.5,6,10.3,237
425,3.5,6,14.3,229
426,3.5,6,11.2,258
427,3.5,6,15.7,251
428,1.6,4,9.5,218
429,2.5,4,9.9,228
430,1.6,4,10.1,232
431,2.5,4,10.4,239
432,3.6,6,12.3,283
433,3.6,6,12.9,297
434,4.3,6,15.1,347
435,5.3,8,15.9,366
436,5.3,8,20.9,334
437,5.3,8,16.5,380
438,5.3,8,21.5,344
439,5.3,8,16.5,380
440,5.3,8,21.5,344
441,5.3,8,16.5,380
442,5.3,8,22.6,362
443,5.3,8,16.5,380
444,5.3,8,21.5,344
445,5.3,8,16.5,380
446,5.3,8,22.6,362
447,4.8,8,18.0,414
448,6.0,8,18.8,432
449,6.0,8,25.7,411
450,4.8,8,18.2,419
451,6.0,8,18.9,435
452,6.0,8,25.8,413
453,4.3,6,11.8,271
454,4.3,6,16.8,269
455,5.3,8,12.7,292
456,5.3,8,16.9,270
457,6.2,8,14.1,324
458,4.3,6,12.6,290
459,4.3,6,17.8,285
460,5.3,8,13.0,299
461,5.3,8,17.3,277
462,6.2,8,14.3,329
463,2.4,4,9.1,209
464,3.6,6,12.0,276
465,3.6,6,16.2,259
466,2.4,4,10.0,230
467,3.6,6,12.6,290
468,3.6,6,17.0,272
469,5.3,8,13.8,317
470,5.3,8,18.4,294
471,5.3,8,13.8,317
472,5.3,8,18.4,294
473,6.2,8,14.7,338
474,6.2,8,20.1,322
475,6.2,8,16.4,377
476,6.2,8,22.1,354
477,5.3,8,13.8,317
478,5.3,8,18.4,294
479,5.3,8,13.8,317
480,5.3,8,18.4,294
481,2.4,4,7.9,182
482,2.4,4,8.1,186
483,2.4,4,8.7,200
484,3.5,6,9.1,209
485,3.5,6,9.6,221
486,3.5,6,10.9,251
487,2.0,4,4.8,110
488,1.8,4,7.0,161
489,1.8,4,7.2,166
490,1.8,4,7.6,175
491,3.5,6,10.7,246
492,2.4,4,9.1,209
493,2.4,4,9.4,216
494,1.5,4,6.3,145
495,1.5,4,6.9,159
496,1.5,4,7.5,172
497,1.5,4,7.7,177
498,3.5,6,10.6,244
499,3.5,6,11.5,265
500,3.5,6,12.0,276
501,3.5,6,13.4,308
502,1.6,4,7.7,177
503,1.6,4,7.7,177
504,2.0,4,8.6,198
505,2.0,4,8.5,196
506,5.0,8,13.2,304
507,3.8,6,11.1,255
508,3.3,6,11.2,258
509,3.3,6,11.6,267
510,2.4,4,10.3,237
511,2.0,4,11.5,264
512,2.4,4,11.1,255
513,2.0,4,9.6,221
514,2.4,4,8.5,196
515,2.4,4,6.2,143
516,2.4,4,6.3,145
517,2.0,4,9.3,214
518,2.0,4,10.1,232
519,2.4,4,10.0,230
520,2.0,4,10.5,242
521,2.4,4,10.6,244
522,1.6,4,7.7,177
523,1.6,4,8.0,184
524,1.6,4,8.8,202
525,1.6,4,8.5,196
526,3.7,6,10.2,235
527,3.7,6,10.8,248
528,3.5,6,7.5,172
529,3.5,6,8.2,189
530,3.7,6,11.5,265
531,3.7,6,11.7,269
532,3.7,6,12.3,283
533,3.7,6,11.1,255
534,3.7,6,11.6,267
535,3.7,6,11.0,253
536,5.6,8,12.3,283
537,3.7,6,11.6,267
538,5.6,8,12.8,294
539,3.5,6,7.6,175
540,3.7,6,11.8,271
541,3.5,6,10.6,244
542,3.5,6,11.0,253
543,2.5,4,8.5,196
544,3.7,6,12.8,294
545,5.0,8,14.5,334
546,5.6,8,15.0,345
547,3.0,6,10.3,237
548,3.0,6,10.6,244
549,5.0,8,12.8,294
550,2.0,4,10.5,242
551,3.0,6,12.2,281
552,5.0,8,13.3,306
553,5.0,8,18.1,290
554,5.0,8,13.3,306
555,3.0,6,12.4,285
556,5.0,8,13.3,306
557,5.0,8,17.5,280
558,3.0,6,12.4,285
559,5.0,8,13.3,306
560,5.0,8,17.5,280
561,5.0,8,13.3,306
562,5.0,8,13.3,306
563,5.0,8,13.1,301
564,5.0,8,12.6,290
565,5.0,8,13.7,315
566,5.0,8,13.5,310
567,5.0,8,13.7,315
568,5.0,8,13.5,310
569,2.4,4,9.5,218
570,3.2,6,10.5,242
571,2.4,4,10.0,230
572,3.2,6,10.8,248
573,2.4,4,10.1,232
574,3.2,6,11.0,253
575,2.4,4,10.9,251
576,3.2,6,11.6,267
577,2.0,4,9.8,225
578,2.0,4,9.1,209
579,2.4,4,9.8,225
580,2.4,4,9.4,216
581,2.4,4,10.2,235
582,2.4,4,9.4,216
583,2.4,4,11.1,255
584,5.7,8,14.8,340
585,3.0,6,9.9,267
586,3.6,6,12.1,278
587,3.6,6,15.6,250
588,6.4,8,15.8,363
589,2.0,4,9.8,225
590,2.0,4,9.1,209
591,2.4,4,9.8,225
592,2.4,4,9.4,216
593,2.4,4,10.2,235
594,2.4,4,9.4,216
595,2.4,4,11.1,255
596,3.6,6,12.8,294
597,3.6,6,12.8,294
598,3.6,6,13.4,308
599,3.6,6,13.4,308
600,3.3,6,10.9,251
601,1.8,4,8.3,191
602,1.8,4,8.0,184
603,2.0,4,8.4,193
604,2.0,4,8.4,193
605,1.6,4,9.7,223
606,1.6,4,9.8,225
607,2.0,4,8.4,193
608,2.0,4,8.5,196
609,1.6,4,9.4,216
610,1.6,4,9.6,221
611,2.0,4,8.4,193
612,2.0,4,8.6,198
613,2.0,4,9.9,228
614,2.4,4,8.7,200
615,1.6,4,7.6,175
616,1.6,4,7.7,177
617,1.6,4,7.6,175
618,2.0,4,9.2,212
619,2.0,4,9.3,214
620,3.5,6,12.0,276
621,2.4,4,10.3,237
622,3.3,6,11.4,262
623,2.4,4,11.0,253
624,3.3,6,11.8,271
625,1.6,4,8.9,205
626,1.6,4,9.0,207
627,2.0,4,9.1,209
628,2.0,4,8.8,202
629,2.4,4,10.0,230
630,2.4,4,11.3,260
631,2.0,4,11.4,262
632,2.4,4,10.7,246
633,6.5,12,18.3,421
634,5.2,10,15.7,361
635,5.2,10,17.4,400
636,2.0,4,11.9,274
637,3.0,6,14.5,334
638,2.0,4,9.8,225
639,2.0,4,9.8,225
640,5.0,8,15.4,354
641,5.0,8,15.1,347
642,5.0,8,21.4,342
643,3.0,6,12.4,285
644,3.0,6,12.4,285
645,3.0,6,17.4,278
646,5.0,8,15.0,345
647,5.0,8,14.7,338
648,5.0,8,20.7,331
649,3.0,6,12.3,283
650,3.0,6,12.3,283
651,3.0,6,17.3,277
652,5.0,8,15.4,354
653,5.0,8,15.1,347
654,5.0,8,21.4,342
655,1.8,4,5.6,129
656,2.5,4,6.0,138
657,3.5,6,9.6,221
658,3.5,6,10.4,239
659,3.5,6,11.0,253
660,3.5,6,7.6,175
661,4.6,8,13.9,320
662,2.5,6,9.7,223
663,2.5,6,10.4,239
664,2.5,6,9.7,223
665,3.5,6,10.6,244
666,3.5,6,11.0,253
667,3.5,6,10.6,244
668,5.0,8,12.6,290
669,4.6,8,12.3,283
670,4.6,8,12.9,297
671,4.6,8,12.9,297
672,5.0,8,11.4,262
673,5.7,8,16.5,380
674,3.5,6,11.7,269
675,3.5,6,11.1,255
676,3.5,6,8.2,189
677,3.5,6,11.8,271
678,3.7,6,11.3,260
679,3.5,6,12.8,294
680,2.0,4,10.2,235
681,3.7,6,12.2,281
682,3.7,6,12.2,281
683,2.0,4,9.0,207
684,3.7,6,11.4,262
685,2.0,4,6.3,145
686,5.4,8,16.0,368
687,5.4,8,21.6,346
688,3.0,6,12.7,292
689,3.0,6,12.7,292
690,4.7,8,15.1,347
691,4.7,8,15.3,352
692,3.8,8,14.5,334
693,3.0,6,13.1,301
694,2.0,4,8.2,189
695,2.0,4,8.0,184
696,2.5,4,8.6,198
697,2.0,4,8.5,196
698,2.5,4,8.9,205
699,3.7,6,12.3,283
700,3.7,6,12.6,290
701,1.5,4,7.7,177
702,1.5,4,7.4,170
703,2.0,4,6.9,159
704,2.0,4,7.0,161
705,2.5,4,7.4,170
706,2.5,4,7.3,168
707,2.0,4,7.0,161
708,2.0,4,7.1,163
709,2.0,4,7.2,166
710,2.5,4,7.7,177
711,2.5,4,7.3,168
712,2.0,4,7.2,166
713,2.5,4,9.7,223
714,2.5,4,9.8,225
715,2.5,4,7.6,175
716,2.5,4,8.1,186
717,2.5,4,7.3,168
718,2.0,4,10.2,235
719,2.0,4,9.6,221
720,2.0,4,9.9,228
721,2.0,4,8.0,184
722,1.8,4,9.4,216
723,1.8,4,9.4,216
724,3.5,6,10.5,242
725,3.5,6,14.0,224
726,3.5,6,10.5,242
727,3.5,6,10.4,239
728,3.5,6,10.6,244
729,3.5,6,10.5,242
730,6.2,8,15.1,347
731,6.2,8,15.3,352
732,4.7,8,13.2,304
733,5.5,8,13.4,308
734,2.0,4,7.8,179
735,2.0,4,9.2,212
736,4.7,8,11.5,264
737,5.5,8,13.1,301
738,5.5,8,13.1,301
739,2.1,4,7.2,194
740,3.5,6,10.2,235
741,3.5,6,10.0,230
742,3.5,6,10.4,239
743,3.5,6,10.5,242
744,3.5,6,10.4,239
745,3.5,6,10.2,235
746,3.5,6,8.8,202
747,4.7,8,11.6,267
748,4.7,8,11.7,269
749,4.7,8,11.4,262
750,5.5,8,12.9,297
751,5.5,8,13.5,310
752,5.5,8,12.9,297
753,5.5,8,13.5,310
754,5.5,8,18.2,419
755,5.5,8,17.7,407
756,3.0,6,12.0,324
757,4.7,8,15.2,350
758,4.7,8,15.6,359
759,5.5,8,15.8,363
760,2.1,4,8.5,230
761,3.5,6,11.3,260
762,3.5,6,12.1,278
763,3.5,6,16.0,256
764,3.0,6,10.3,278
765,4.7,8,14.2,327
766,5.5,8,15.5,356
767,4.7,8,12.1,278
768,4.7,8,12.0,276
769,5.5,8,13.2,304
770,4.7,8,11.7,269
771,5.5,8,12.7,292
772,6.0,8,14.2,327
773,1.8,4,8.9,205
774,1.8,4,9.0,207
775,3.5,6,9.8,225
776,5.5,8,10.7,246
777,6.2,8,16.5,380
778,6.2,8,15.7,361
779,6.2,8,15.7,361
780,1.6,4,7.8,179
781,1.6,4,7.8,179
782,1.6,4,7.8,179
783,1.6,4,7.8,179
784,1.6,4,8.7,200
785,1.6,4,7.8,179
786,1.6,4,7.6,175
787,1.6,4,7.3,168
788,1.6,4,8.7,200
789,1.6,4,7.8,179
790,1.6,4,7.8,179
791,1.6,4,7.8,179
792,1.6,4,8.3,191
793,1.6,4,8.0,184
794,1.6,4,8.3,191
795,1.6,4,8.0,184
796,1.6,4,9.0,207
797,1.6,4,8.5,196
798,1.6,4,8.3,191
799,1.6,4,8.0,184
800,1.6,4,9.0,207
801,1.6,4,8.5,196
802,1.6,4,8.3,191
803,1.6,4,8.0,184
804,1.6,4,8.3,191
805,1.6,4,8.0,184
806,1.6,4,8.3,191
807,1.6,4,8.0,184
808,1.6,4,9.0,207
809,1.6,4,8.5,196
810,1.6,4,8.3,191
811,1.6,4,8.0,184
812,1.6,4,9.0,207
813,1.6,4,8.5,196
814,1.6,4,8.3,191
815,1.6,4,8.0,184
816,2.0,4,8.2,189
817,2.0,4,8.3,191
818,2.4,4,9.5,218
819,2.0,4,12.5,288
820,2.0,4,12.3,283
821,2.0,4,11.6,267
822,2.0,4,8.6,198
823,2.0,4,8.6,198
824,1.2,3,6.0,138
825,1.2,3,6.4,147
826,2.4,4,8.6,198
827,2.4,4,9.1,209
828,3.0,6,10.2,235
829,2.0,4,8.7,200
830,2.0,4,8.8,202
831,2.0,4,9.0,207
832,3.7,6,11.0,253
833,3.7,6,11.5,264
834,3.7,6,11.4,262
835,3.7,6,11.7,269
836,2.5,4,7.6,175
837,3.5,6,9.3,214
838,5.6,8,16.5,380
839,2.5,4,12.3,283
840,2.5,4,11.3,260
841,4.0,6,12.7,292
842,4.0,6,13.7,315
843,4.0,6,13.1,301
844,3.8,6,12.9,297
845,1.6,4,8.1,186
846,1.6,4,8.6,198
847,1.6,4,8.7,200
848,3.5,6,10.9,251
849,3.5,6,11.8,271
850,2.0,4,9.3,214
851,3.5,6,10.6,244
852,3.5,6,11.0,253
853,2.5,4,8.8,202
854,3.5,6,11.1,255
855,2.5,4,8.3,191
856,2.5,4,8.6,198
857,1.8,4,7.0,161
858,1.8,4,7.8,179
859,5.6,8,15.6,359
860,5.6,8,17.3,398
861,1.6,4,6.6,152
862,1.6,4,7.7,177
863,4.0,6,14.2,327
864,4.0,6,13.7,315
865,3.4,6,10.1,232
866,3.4,6,10.7,246
867,3.4,6,10.3,237
868,3.4,6,10.7,246
869,3.4,6,10.5,242
870,3.4,6,11.0,253
871,3.8,6,10.8,248
872,3.8,6,11.0,253
873,3.8,6,11.0,253
874,3.8,6,11.2,258
875,3.4,6,10.1,232
876,3.4,6,10.7,246
877,3.8,6,10.6,244
878,3.8,6,10.8,248
879,3.8,6,10.7,246
880,3.8,6,10.9,251
881,3.8,6,14.0,322
882,3.8,6,11.9,274
883,3.8,6,11.9,274
884,3.8,6,11.9,274
885,3.8,6,11.9,274
886,2.7,6,9.2,212
887,2.7,6,9.9,228
888,3.4,6,9.8,225
889,3.4,6,10.4,239
890,3.6,6,12.0,276
891,3.6,6,13.6,313
892,3.0,6,10.4,281
893,4.8,8,13.9,320
894,4.8,8,13.0,299
895,3.0,6,10.9,251
896,4.8,8,13.7,315
897,2.7,6,9.2,212
898,2.7,6,9.9,228
899,3.4,6,9.8,225
900,3.4,6,10.4,239
901,3.6,6,10.9,251
902,3.6,6,11.1,255
903,3.0,6,11.3,260
904,3.0,6,11.5,264
905,4.8,8,12.7,292
906,3.0,6,11.3,260
907,4.8,8,12.8,294
908,4.8,8,12.9,297
909,5.7,8,14.8,340
910,5.7,8,13.6,313
911,5.7,8,15.4,354
912,5.7,8,14.1,324
913,3.0,6,10.6,286
914,3.6,6,12.6,290
915,3.6,6,17.8,285
916,3.0,6,10.2,275
917,3.6,6,11.9,274
918,3.6,6,16.8,269
919,3.6,6,11.3,260
920,3.6,6,11.4,262
921,3.6,6,15.9,254
922,6.6,12,16.0,368
923,6.6,12,16.0,368
924,6.7,12,17.1,393
925,6.7,12,17.1,393
926,6.7,12,17.1,393
927,6.7,12,17.1,393
928,6.6,12,15.6,359
929,2.0,4,8.4,193
930,2.0,4,9.5,218
931,1.3,4,6.2,143
932,2.5,4,9.0,207
933,2.5,4,9.0,207
934,2.4,4,9.9,228
935,2.4,4,9.9,228
936,1.8,4,8.0,184
937,1.8,4,7.9,182
938,1.0,3,6.4,147
939,1.0,3,6.4,147
940,8.4,10,16.9,389
941,8.4,10,16.9,389
942,2.0,4,8.5,196
943,2.0,4,9.6,221
944,2.0,4,9.5,218
945,2.5,4,8.6,198
946,2.5,4,9.7,223
947,2.0,4,7.8,179
948,2.0,4,8.5,196
949,2.5,4,11.2,258
950,2.5,4,12.5,288
951,2.0,4,7.8,179
952,2.0,4,8.5,196
953,2.5,4,11.2,258
954,2.5,4,12.5,288
955,2.5,4,8.6,198
956,2.5,4,9.9,228
957,3.6,6,11.6,267
958,2.5,4,9.0,207
959,2.5,4,9.8,225
960,3.6,6,11.7,269
961,3.6,6,13.1,301
962,2.0,4,8.5,196
963,2.0,4,9.2,212
964,2.0,4,7.7,177
965,4.0,6,12.9,297
966,4.0,6,12.9,297
967,3.5,6,9.6,221
968,2.5,4,8.2,189
969,3.5,6,9.6,221
970,2.5,4,5.7,131
971,2.5,4,6.0,138
972,1.8,4,7.7,177
973,1.8,4,7.3,168
974,1.8,4,7.1,163
975,1.8,4,7.4,170
976,1.8,4,6.8,156
977,1.8,4,6.9,159
978,1.8,4,8.5,196
979,1.8,4,8.2,189
980,4.0,6,12.9,297
981,4.0,6,13.9,320
982,2.7,4,10.3,237
983,3.5,6,11.2,258
984,3.5,6,11.5,264
985,3.5,6,8.3,191
986,3.5,6,8.2,189
987,1.8,4,4.8,110
988,1.5,4,4.7,108
989,1.8,4,5.5,126
990,2.5,4,8.9,205
991,2.5,4,9.4,216
992,2.5,4,9.5,218
